Ticker,CASY,ORLY,TLT,SHY,LMT,DE,MO,GLD,MS,XOM,EME
CASY,0.0926276623961915,0.02908057648480122,-0.006879667632091577,-0.0005356089476071554,0.018738492706651757,0.030412186892725113,0.019450759428733807,-0.00042789338577924936,0.049780517996133075,0.025094492777100255,0.039710260165548
ORLY,0.02908057648480122,0.07499166448859597,-0.006464159690647394,-0.0004640250476841508,0.020475869380702966,0.02949873322766737,0.01694805635531742,-0.00028457386425084156,0.04514332828915741,0.02065146735998473,0.03700153910300671
TLT,-0.006879667632091577,-0.006464159690647394,0.02237361738965628,0.0012228905730951847,-0.0065289754422025795,-0.011395174967512509,-0.00467459518206085,0.004057849148838313,-0.0193427902435115,-0.010909332227775546,-0.01263502099127883
SHY,-0.0005356089476071554,-0.0004640250476841508,0.0012228905730951847,0.001645728560336906,-0.00045727528315255136,-0.0008718319777837847,-0.0003310241620126156,0.0005574630616607655,-0.0017199516958179392,-0.0008334610109656894,-0.0010761360672246515
LMT,0.018738492706651757,0.020475869380702966,-0.0065289754422025795,-0.00045727528315255136,0.053003365143404486,0.028590496018249652,0.016126148737912734,0.0016813124148579248,0.038402916178316565,0.02425854327115163,0.03139404006174238
DE,0.030412186892725113,0.02949873322766737,-0.011395174967512509,-0.0008718319777837847,0.028590496018249652,0.104069576956658,0.021559701451634612,0.006027751095783842,0.07410461090222813,0.041898783803058934,0.061602731829190766
MO,0.019450759428733807,0.01694805635531742,-0.00467459518206085,-0.0003310241620126156,0.016126148737912734,0.021559701451634612,0.04496383455683441,0.00019051430626740326,0.032761122494332176,0.0222368122885502,0.023580842703152586
GLD,-0.00042789338577924936,-0.00028457386425084156,0.004057849148838313,0.0005574630616607655,0.0016813124148579248,0.006027751095783842,0.00019051430626740326,0.033682877730062705,-0.0016762020026764284,0.005513430536197827,0.003716231216879577
MS,0.049780517996133075,0.04514332828915741,-0.0193427902435115,-0.0017199516958179392,0.038402916178316565,0.07410461090222813,0.032761122494332176,-0.0016762020026764284,0.21649553953115142,0.05892280662849021,0.08948405447180464
XOM,0.025094492777100255,0.02065146735998473,-0.010909332227775546,-0.0008334610109656894,0.02425854327115163,0.041898783803058934,0.0222368122885502,0.005513430536197827,0.05892280662849021,0.0703502831662603,0.04252725131219682
EME,0.039710260165548,0.03700153910300671,-0.01263502099127883,-0.0010761360672246515,0.03139404006174238,0.061602731829190766,0.023580842703152586,0.003716231216879577,0.08948405447180464,0.04252725131219682,0.12813639257348694
