date,vix,high_yield_spread,t10y2y
1997-01-02,0.11274072597304557,-0.7004151638462256,0.5268405677540422
1997-01-03,-1.3327335493681032,0.30090556358413145,-0.0005158697379927413
1997-01-06,0.5126120867495124,0.1006414180980636,-0.0005158697379927413
1997-01-07,-0.40284957130418775,0.0005093453550252277,0.5268405677540451
1997-01-08,0.5983940601276602,-0.29988687287408544,-0.0005158697379927413
1997-01-09,0.4219192820811826,0.6013017818132421,-0.2641940884840116
1997-01-10,-0.8691585214728156,0.3009055635841359,-0.2641940884840116
1997-01-13,0.11522738934508894,-1.2010755275614085,-0.2641940884840087
1997-01-14,-0.4244846979999487,0.5011697090702038,-0.2641940884840116
1997-01-15,0.061134369853208845,-0.19975480013104707,-0.0005158697379927413
1997-01-16,0.11696353137473857,-0.5001510183601533,0.5268405677540422
1997-01-17,-0.715295154679671,0.2007734908410975,-0.2641940884840087
1997-01-20,-0.053255307450605326,-0.09962272738801314,-0.2641940884840087
1997-01-21,-0.6126114384427664,0.2007734908410975,-0.7915505259760495
1997-01-22,-0.5845991286975603,-0.6002830911031872,0.790518786500064
1997-01-23,1.0741308584903257,-0.19975480013104707,-0.5278723072300305
1997-01-24,0.6061577116512165,-0.29988687287408544,0.790518786500061
1997-01-27,0.5565561924460546,-0.4000189456171193,0.2631623490080262
1997-01-28,0.362607445184655,0.2007734908410975,0.5268405677540451
1997-01-29,-0.3678182001672591,0.2007734908410975,-0.2641940884840116
1997-01-30,-0.5454666306593543,0.3009055635841359,0.2631623490080262
1997-01-31,-0.5454666306593543,0.7014338545562759,-0.2641940884840116
1997-02-03,0.04612450538286048,0.4010376363271698,-0.2641940884840116
1997-02-04,-0.13607938698921204,0.0005093453550252277,-0.2641940884840116
1997-02-05,1.1171393780714838,-0.29988687287408544,-0.2641940884840087
1997-02-06,-0.6161968267629082,-0.19975480013104707,0.5268405677540422
1997-02-07,-0.886752116447456,0.3009055635841359,-0.2641940884840116
1997-02-10,1.2362538053114582,-0.19975480013104707,-0.2641940884840087
1997-02-11,-0.4819761906762255,-0.09962272738801314,-0.2641940884840116
1997-02-12,-0.3670877920240561,-0.19975480013104707,-1.5825851822141062
1997-02-13,-0.20688791967590534,0.3009055635841359,-0.0005158697379927413
1997-02-14,-0.0668042918214024,0.10064141809805915,-0.0005158697379927413
1997-02-18,0.33990803709089573,-0.4000189456171193,-0.2641940884840116
