Date,Equity Market Beta,TIPS Duration Beta,Credit Market Beta
2018-09-21,0.691275251633256,-1.8089436202751223,0.1850973050588117
2018-09-24,0.6281450112699789,-2.0317582882094616,0.15006074246831072
2018-09-25,0.41034835005068687,-2.197753413137394,-0.10649359426637177
2018-09-26,0.07190053134022861,-1.7971726433955648,-0.036360180514671214
2018-09-27,0.1435008666885567,-1.50860607826519,0.1967982025390235
2018-09-28,-0.019555332385428323,-1.5648204277626843,0.325167099796777
2018-10-01,0.21381786715631318,-2.045626714869521,0.6992577056139404
2018-10-02,0.19461172926366846,-1.6992474686965884,0.48818323694548427
2018-10-03,0.26540722484429013,-2.125204999263485,0.4289150006339553
2018-10-04,0.10516318260480269,-2.3077040306606946,0.15874471476438734
2018-10-05,0.02466006232559434,-2.7568613122362837,-0.3698562255096331
2018-10-08,0.08492188057171508,-2.4588190605385214,-0.4880256290755899
2018-10-09,-0.01407156969144248,-2.1417355975732266,-0.533587438411532
2018-10-10,-1.090948307902548,-2.009869106358809,-1.2726534489639079
2018-10-11,-1.7550075922355897,-1.917709366332073,-1.421419974384817
2018-10-12,-1.52383449247007,-1.931465634852562,-1.0795060086624246
2018-10-15,-1.6939665158728976,-1.6279576642586044,-1.2417405366066585
2018-10-16,-0.8959870259245871,-1.639145278185479,-0.8338800449777827
2018-10-17,-1.0526924951069085,-1.6762331973179028,-1.020910137951117
2018-10-18,-1.5153164635416247,-1.6323323161665753,-1.2573052968494063
2018-10-19,-1.7675157908541002,-1.9147342830283152,-1.3371736772337846
2018-10-22,-1.8718201664746,-1.9941658518987684,-1.3133805297776338
2018-10-23,-1.923379074037353,-1.8365299689363268,-1.360851440727461
2018-10-24,-2.7757840661696362,-1.3816217448964248,-1.7716176299934632
2018-10-25,-2.1849016086644135,-2.118538687914002,-1.6760349058493171
2018-10-26,-2.76891202351734,-1.5382814445679018,-2.3025442006348777
2018-10-29,-2.9277584906469634,-1.6071357910563537,-2.464076458289977
2018-10-30,-2.6113174159979025,-1.5665275970046424,-2.5146490189476403
2018-10-31,-2.292289783484533,-2.0540113613218307,-2.4350225194543778
2018-11-01,-2.003530440593171,-1.6152522724772407,-1.7211977376381253
2018-11-02,-1.9483671340965962,-1.6875896420088774,-1.4108938211654962
2018-11-05,-1.6245782727947633,-1.1161761173293827,-0.8863586712927656
2018-11-06,-1.4392142185900498,-1.105144511939975,-0.4031989566474367
2018-11-07,-0.7640685441458006,-1.3666095887379486,0.0235397551179527
2018-11-08,0.16540978795084815,-1.4137425260802712,0.49850205379129736
2018-11-09,0.555023099528941,-1.320005896838062,-0.15638657229167058
2018-11-12,-0.4561388935546645,-0.8620589372210649,-1.3027817487780151
2018-11-13,-0.3413941684694255,-1.0454283037386392,-1.3986745998413246
2018-11-14,-1.2002626540840888,-1.045372668765695,-1.9244923370635283
2018-11-15,-0.8954534094409522,-0.6444893277559492,-1.751279732040275
2018-11-16,-0.37630760729490204,-0.034242365117054856,-1.6291100656743243
2018-11-19,-0.8766080384335856,0.02354721560188684,-1.9960879053258547
2018-11-20,-1.2996237213803303,-0.09161399421393701,-2.35117194261547
2018-11-21,-1.0466147976476552,-0.1839620390230617,-1.7595115445069194
2018-11-23,-0.3190046945284915,-0.7933337169298661,-1.817315844093508
2018-11-26,-0.3730007738216373,-0.40327838479821077,-1.5510692472665395
2018-11-27,0.2784500363957406,-1.367061687007666,-1.152202092450914
2018-11-28,1.1745777675659066,-1.0922891121199194,-0.2309361010478203
2018-11-29,0.6368434117793668,-0.022592028361570992,-0.44497723397827293
2018-11-30,0.4936837419817661,0.28978371864050995,-0.6481360054476331
2018-12-03,0.5744762408390565,0.6888817322365506,-0.41600933091115877
2018-12-04,-0.2644118832358014,1.4583783935362966,-0.9783727864380093
2018-12-06,-0.47885465126734095,1.2350235536001082,-1.4076092734685484
2018-12-07,-1.3731042627138637,1.4675981125981254,-1.856265318220414
2018-12-10,-1.9375172075639635,1.0605673864269847,-2.353947657624707
2018-12-11,-1.8782261038120232,0.7255133991886433,-1.932614728963203
2018-12-12,-1.4440803445418204,0.236998281530423,-1.048819016711548
2018-12-13,-0.8930386015801387,-0.0065746119751919395,-0.1911491944576148
2018-12-14,-1.392196186835493,0.1902516755961343,-0.4446471236763221
2018-12-17,-1.7721975098224365,0.3984553234525297,-0.9042655306494732
2018-12-18,-2.104877849261162,0.6227706178900867,-1.0611600956945264
2018-12-19,-2.6100108538144737,0.32077764287739713,-1.662148377248869
2018-12-20,-2.59167629399022,0.020986283054320223,-2.218461039429918
2018-12-21,-2.6489211821872973,0.14789663861549943,-2.3987955674029715
2018-12-24,-3.489360078114442,0.3905909845044963,-3.6251840008096434
2018-12-26,-1.909747307682775,0.3332876108673448,-1.445436480308867
2018-12-27,-2.1514696451893434,0.4725907093998039,-1.9716818381770167
2018-12-28,-2.2849165482627694,1.1823722355653263,-1.7778116377349296
2018-12-31,-2.6842330348414087,1.1230108804349492,-2.519222874621108
2019-01-02,-2.5929554702219453,0.5746651100153423,-2.6755672506695363
2019-01-03,-3.436409760334617,1.2898082708185743,-2.4280341642033765
2019-01-04,-2.887045038134955,0.7862857037487273,-1.4667092250340166
2019-01-07,-1.7199073279244357,0.32449886037911996,0.12035640315308058
2019-01-08,-1.4008004837369665,0.4163222723410808,1.128100490653804
2019-01-09,-0.557370731189543,0.38118203151719643,1.4462222673689098
2019-01-10,-0.5079694180485856,0.3938515721772721,1.7737735639112873
2019-01-11,-0.5031284644879448,1.2379101817898828,1.2610458099881954
2019-01-14,-0.8401425648568605,1.1936607266406851,0.6043990866812415
2019-01-15,-0.48510058848257037,1.0548748160844101,0.7000031855314005
2019-01-16,0.16244288040116417,0.9500622545445423,1.2838009946010158
2019-01-17,1.0249248499840151,0.625699093851033,2.2301799990435165
2019-01-18,1.4856368027781828,0.14753335119204408,2.7102455939113748
2019-01-22,1.5338263530283684,0.009010229998933382,2.9590931264500284
2019-01-23,2.1398566080269825,0.21696823794465783,4.082251222506624
2019-01-24,2.8493156688418853,0.4704377345940168,4.716535788177113
2019-01-25,4.059264824485633,0.09006905345875346,5.774504541347933
2019-01-28,2.1239368010467468,0.17154688040565502,3.853395744023782
