Date,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock,Equity Market Beta,TIPS Duration Beta,Credit Market Beta,Downside Market Shock,Real Yield Shock
2010-01-04,-0.028204353035764185,-1.1500000000000004,-0.1599999999999997,,,,0.0,0.29000000000000004
2010-01-05,-0.12608246045728466,-1.1000000000000005,-0.10999999999999988,,,,0.0,0.18999999999999995
2010-01-06,-0.08202802892123207,-1.0700000000000003,-0.19999999999999973,,,,0.0,0.1399999999999999
2010-01-07,-0.12724723560181672,-1.2299999999999995,-0.1599999999999997,,,,0.0,0.1299999999999999
2010-01-08,-0.24798622132444537,-1.29,-0.20000000000000018,,,,0.0,0.09999999999999987
2010-01-11,-0.23649913530319766,-1.2699999999999996,-0.20999999999999996,,,,0.0,0.10999999999999988
2010-01-12,-0.18160868235449223,-1.1099999999999994,-0.10999999999999988,,,,0.0,-0.04999999999999982
2010-01-13,-0.17082039738370602,-1.0599999999999996,-0.10999999999999988,,,,0.0,0.020000000000000018
2010-01-14,-0.16276552189020166,-0.9299999999999997,-0.1299999999999999,,,,0.0,0.029999999999999805
2010-01-15,-0.1629591527230957,-0.7600000000000007,-0.08999999999999986,,,,0.0,-0.030000000000000027
2010-01-19,-0.21720640504500832,-0.7999999999999998,-0.06000000000000005,,,,0.0,0.010000000000000009
2010-01-20,-0.11776280040765563,-0.6799999999999997,-0.020000000000000018,,,,0.0,0.030000000000000027
2010-01-21,0.12931065266092223,-0.47999999999999954,0.05999999999999961,,,,0.0,-0.020000000000000018
2010-01-22,0.4019881588337778,-0.29000000000000004,0.040000000000000036,,,,0.0,-0.07999999999999985
2010-01-25,0.3237164709798154,-0.17999999999999972,0.020000000000000018,,,,0.0,-0.09999999999999987
2010-01-26,0.30204808816572903,-0.09999999999999964,0.04999999999999982,,,,0.0,-0.1499999999999999
2010-01-27,0.22098818818905597,-0.08999999999999986,0.009999999999999787,,,,0.0,-0.1499999999999999
2010-01-28,0.24247111395213083,-0.08000000000000007,-0.07000000000000028,,,,0.0,-0.1499999999999999
2010-01-29,0.28247513217058184,-0.040000000000000036,-0.08000000000000007,,,,0.0,-0.15999999999999992
2010-02-01,0.22700052152440742,0.20000000000000018,-0.050000000000000266,,,,0.0,-0.1499999999999999
2010-02-02,0.2122948730603792,0.2400000000000002,-0.04000000000000048,,,,0.0,-0.21999999999999997
2010-02-03,0.22770058668617865,0.29000000000000004,-4.440892098500626e-16,-0.03088282807870746,0.009958594131308063,-0.013310965776951122,-0.03088282807870746,-0.16999999999999993
2010-02-04,0.44032720077417054,0.5599999999999996,0.009999999999999787,-0.06327584785052431,0.009356951673922476,-0.03190539782381974,-0.06327584785052431,-0.15999999999999992
2010-02-05,0.49027079188779954,0.79,0.06000000000000005,-0.06199944833503357,0.010145862759007862,-0.040051407915911885,-0.06199944833503357,-0.15999999999999992
2010-02-08,0.5375817675787063,0.8599999999999994,0.07999999999999963,-0.07268574381956738,0.007062152561761126,-0.04807582027115076,-0.07268574381956738,-0.08999999999999986
2010-02-09,0.47845770430526546,0.8099999999999996,-4.440892098500626e-16,-0.06415260684462032,0.0014963082940249173,-0.047650112969127356,-0.06415260684462032,-0.039999999999999813
2010-02-10,0.47729858944752035,0.8999999999999995,0.029999999999999805,-0.06728849098863099,0.0007284502819580041,-0.05962282451968248,-0.06728849098863099,-0.030000000000000027
2010-02-11,0.4329306060336826,0.9400000000000004,0.009999999999999787,-0.048653536734101555,-0.006241676238864846,-0.05092631600511621,-0.048653536734101555,0.11999999999999988
